-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  /Users/echow/QSU/SEER-medicare/code/hcpcs.log
  log type:  text
 opened on:  13 Jul 2018, 12:14:18

.         tab hcpcs, sort

 HCPCS Code |      Freq.     Percent        Cum.
      80202 |        792        0.02       93.45
      72194 |        789        0.02       93.47
      87106 |        789        0.02       93.49
      95810 |        785        0.02       93.50
      J9390 |        777        0.02       93.52
      84234 |        766        0.02       93.54
      87324 |        764        0.02       93.56
      99219 |        763        0.02       93.57
      A0322 |        763        0.02       93.59
      76965 |        759        0.02       93.61
      A4644 |        756        0.02       93.63
      97004 |        754        0.02       93.64
      73520 |        750        0.02       93.66
      76005 |        748        0.02       93.68
      75625 |        747        0.02       93.70
      86334 |        747        0.02       93.71
      72158 |        746        0.02       93.73
      97010 |        743        0.02       93.75
      87087 |        742        0.02       93.76
      J1885 |        741        0.02       93.78
      11041 |        740        0.02       93.80
      87230 |        740        0.02       93.82
      88160 |        737        0.02       93.83
      79900 |        734        0.02       93.85
      G0107 |        732        0.02       93.87
      86039 |        730        0.02       93.88
      85102 |        724        0.02       93.90
      74230 |        722        0.02       93.92
      77333 |        722        0.02       93.93
      92506 |        722        0.02       93.95
      73080 |        715        0.02       93.97
      J0170 |        710        0.02       93.98
      87220 |        707        0.02       94.00
      78464 |        700        0.02       94.02
      70220 |        699        0.02       94.03
      96910 |        698        0.02       94.05
      20610 |        688        0.02       94.06
      93925 |        688        0.02       94.08
      82232 |        685        0.02       94.09
      92557 |        685        0.02       94.11
      J1580 |        675        0.02       94.13
      93526 |        672        0.02       94.14
      45383 |        669        0.02       94.16
      92083 |        669        0.02       94.17
      94350 |        668        0.02       94.19
      J9070 |        660        0.02       94.20
      64721 |        659        0.02       94.22
      92250 |        658        0.02       94.23
      88182 |        655        0.02       94.25
      84060 |        653        0.02       94.26
      70541 |        652        0.02       94.28
      32000 |        649        0.01       94.29
      J2550 |        647        0.01       94.31
      87210 |        643        0.01       94.32
      84066 |        639        0.01       94.34
      86880 |        636        0.01       94.35
      78195 |        630        0.01       94.37
      74240 |        627        0.01       94.38
      95851 |        623        0.01       94.40
      86255 |        621        0.01       94.41
      88106 |        621        0.01       94.42
      85097 |        617        0.01       94.44
      47000 |        616        0.01       94.45
      77402 |        616        0.01       94.47
      74247 |        614        0.01       94.48
      88321 |        613        0.01       94.50
      73090 |        609        0.01       94.51
      J9170 |        603        0.01       94.52
      G0123 |        602        0.01       94.54
      99220 |        599        0.01       94.55
      J2270 |        598        0.01       94.56
      78580 |        597        0.01       94.58
